Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2012.09.02.a,Sep-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,16h30,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.08.31,Aug-2012,Provoked,Scotland,Inner Hebrides,the Isle of Islay,N,Unknown,Unknown,Fishing,Unknown,"the Isle of Islay, Inner Hebrides, Scotland","(55.7362535, -6.177067)",55.7362535,-6.177067
2012.08.28,Aug-2012,Unprovoked,Australia,Western Australia,Quobba Station,N,15h30,Afternoon,Surfing,Unknown,"Quobba Station, Western Australia, Australia","(-24.3954402, 113.4062086)",-24.3954402,113.4062086
2012.08.26,Aug-2012,Unprovoked,Brazil,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Y,Afternoon,Afternoon,Swimming,Unknown,"Coral Cove, Cabo de Santo Agostinho, Pernambuco, Brazil","(-8.2869133, -35.0372522)",-8.2869133,-35.0372522
2012.08.15,Aug-2012,Unprovoked,United States,Alabama,"Gulf Shores, Baldwin County",N,Unknown,Unknown,Wading,Unknown,"Gulf Shores, Baldwin County, Alabama, United States","(30.2460361, -87.70081929999999)",30.2460361,-87.70081929999999
2012.08.11,Aug-2012,Not Confirmed,Australia,Western Australia,Ocean Reef,N,12h00,Afternoon,Fishing,Unknown,"Ocean Reef, Western Australia, Australia","(-31.7591694, 115.7364917)",-31.7591694,115.7364917
2012.08.09,Aug-2012,Unprovoked,United States,Florida,Key Largo,N,1600,Unknown,Diving,Lemon,"Key Largo, Florida, United States","(25.0865151, -80.4472802)",25.0865151,-80.4472802
2012.08.05,Aug-2012,Unprovoked,Reunion,Saint Leu,Saint Leu,N,17h17,Afternoon,Surfing,Bull,"Saint Leu, Saint Leu, Reunion","(-21.1747552, 55.2878651)",-21.1747552,55.2878651
2012.08.04,Aug-2012,Unprovoked,French Polynesia,Tuamotus,Kaukura Atoll,N,Unknown,Unknown,Fishing,Lemon,"Kaukura Atoll, Tuamotus, French Polynesia","(-15.7413788, -146.6738329)",-15.7413788,-146.6738329
2012.07.31.b,Jul-2012,Unprovoked,United States,California,"Topanga Beach, Los Angeles County",N,06h45,Morning,Surfing,Unknown,"Topanga Beach, Los Angeles County, California, United States","(34.0919452, -118.6021321)",34.0919452,-118.6021321
2012.07.31.a,Jul-2012,Unprovoked,Australia,South Australia,Streaky Bay,N,14h40,Afternoon,Surfing,Copper,"Streaky Bay, South Australia, Australia","(-32.7984459, 134.2112541)",-32.7984459,134.2112541
2012.07.30.b,Jul-2012,Unprovoked,United States,Hawaii,"Maha‘ulepu Beach, Kauai",N,16h35,Afternoon,Surfing,Unknown,"Maha‘ulepu Beach, Kauai, Hawaii, United States","(21.8924999, -159.4169444)",21.8924999,-159.4169444
2012.07.30.a,Jul-2012,Unprovoked,United States,Massachusetts,"Ballston Beach, Truro, Cape Cod",N,15h30,Afternoon,Surfing,White,"Ballston Beach, Truro, Cape Cod, Massachusetts, United States","(42.00065910000001, -70.020301)",42.00065910000001,-70.020301
2012.07.24,Jul-2012,Not Confirmed,United States,North Carolina,"Ocean Isle, Brunswick County",U,11h45,Morning,Unknown,Unknown,"Ocean Isle, Brunswick County, North Carolina, United States","(33.8877282, -78.4364471)",33.8877282,-78.4364471
2012.07.23,Jul-2012,Unprovoked,Reunion,Trois-Bassins,Trois-Bassins,Y,16h30,Afternoon,Surfing,Unknown,"Trois-Bassins, Trois-Bassins, Reunion","(-21.1055992, 55.2951171)",-21.1055992,55.2951171
2012.07.21,Jul-2012,Not Confirmed,Trinidad & Tobago,Trinidad,"Radix Village, Mayoro County",U,Unknown,Unknown,Swimming,Unknown,"Radix Village, Mayoro County, Trinidad, Trinidad & Tobago","(10.2590973, -61.0180269)",10.2590973,-61.0180269
2012.07.19,Jul-2012,Not Confirmed,Canada,British Colombia,"Tofino, Vancouver",U,Unknown,Unknown,Surfing,Unknown,"Tofino, Vancouver, British Colombia, Canada","(49.1529842, -125.9066184)",49.1529842,-125.9066184
2012.07.14,Jul-2012,Unprovoked,Australia,Western Australia,Wedge Island,Y,09h05,Morning,Surfing,White,"Wedge Island, Western Australia, Australia","(-30.8192441, 115.1994285)",-30.8192441,115.1994285
2012.07.08,Jul-2012,Unprovoked,United States,North Carolina,"North Topsail Beach, Onslow County",N,17h30,Afternoon,Swimming,Unknown,"North Topsail Beach, Onslow County, North Carolina, United States","(34.4901665, -77.43163)",34.4901665,-77.43163
2012.07.07.c,Jul-2012,Unprovoked,Bahamas,Eleuthera,Eleuthera,N,Unknown,Unknown,Fishing,Unknown,"Eleuthera, Eleuthera, Bahamas","(24.9314461, -76.18996609999999)",24.9314461,-76.18996609999999
2012.07.07.b,Jul-2012,Not Confirmed,Australia,Victoria,Point Lonsdale,U,15h00,Afternoon,Diving,Unknown,"Point Lonsdale, Victoria, Australia","(-38.2727329, 144.6134463)",-38.2727329,144.6134463
2012.07.07.a,Jul-2012,Not Confirmed,United States,California,"Pleasure Point, Santa Cruz County",N,08h30,Morning,Rowing,Unknown,"Pleasure Point, Santa Cruz County, California, United States","(36.9635135, -121.9648975)",36.9635135,-121.9648975
2012.07.06,Jul-2012,Unprovoked,South Africa,Western Cape Province,"Sandstrand, Jongensfontein",N,16h30,Afternoon,Surfing,Unknown,"Sandstrand, Jongensfontein, Western Cape Province, South Africa","(-34.4301235, 21.3354)",-34.4301235,21.3354
2012.06.28.R,Jun-2012,Not Confirmed,Croatia,Buccari Bay,Buccari Bay,U,Unknown,Unknown,Swimming,Unknown,"Buccari Bay, Buccari Bay, Croatia","(45.3068046, 14.5342464)",45.3068046,14.5342464
2012.06.26.c,Jun-2012,Unprovoked,United States,Florida,"Juno Beach, Palm Beach County",N,19h00,Evening,Swimming,Bull,"Juno Beach, Palm Beach County, Florida, United States","(26.8797819, -80.0533743)",26.8797819,-80.0533743
2012.06.26.b,Jun-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,15h00,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.06.26.a,Jun-2012,Unprovoked,United States,Hawaii,"Kahana Beach, Maui",N,09h45,Morning,Unknown,Unknown,"Kahana Beach, Maui, Hawaii, United States","(20.9766667, -156.6825)",20.9766667,-156.6825
2012.06.22.b,Jun-2012,Unprovoked,Australia,Tasmania,South Cape Bay,N,Unknown,Unknown,Surfing,Unknown,"South Cape Bay, Tasmania, Australia","(-43.63, 146.79)",-43.63,146.79
2012.06.22.a,Jun-2012,Unprovoked,United States,Florida,"Bathtub Reef Beach, Stuart, Martin County",N,16h30,Afternoon,Swimming,Unknown,"Bathtub Reef Beach, Stuart, Martin County, Florida, United States","(27.186242, -80.16036)",27.186242,-80.16036
2012.06.20,Jun-2012,Unprovoked,Australia,Western Australia,"Mullaloo Beach, Perth",N,07h15,Morning,Surfing,Unknown,"Mullaloo Beach, Perth, Western Australia, Australia","(-31.7818043, 115.7383978)",-31.7818043,115.7383978
2012.06.19,Jun-2012,Not Confirmed,United States,South Carolina,"Myrtle Beach, Horry County",U,Unknown,Unknown,Surfing,Unknown,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.06.18,Jun-2012,Unprovoked,United States,North Carolina,"Ocean Isle, Brunswick County",N,11h00,Morning,Wading,Unknown,"Ocean Isle, Brunswick County, North Carolina, United States","(33.8877282, -78.4364471)",33.8877282,-78.4364471
2012.06.15,Jun-2012,Provoked,United States,Florida,"Summerland Key, Monroe County",N,14h20,Afternoon,Fishing,Tiger,"Summerland Key, Monroe County, Florida, United States","(24.6613356, -81.4448502)",24.6613356,-81.4448502
2012.06.14.d,Jun-2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,Afternoon,Afternoon,Swimming,Blacktip,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.06.14.c,Jun-2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,Afternoon,Afternoon,Swimming,Unknown,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.06.14.b,Jun-2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,Afternoon,Afternoon,Swimming,Blacktip,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.06.14.a,Jun-2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,13h20,Afternoon,Swimming,Blacktip,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.06.12,Jun-2012,Unprovoked,Australia,Victoria,Port Campbell,N,Morning,Unknown,Surfing,Unknown,"Port Campbell, Victoria, Australia","(-38.6193271, 142.9963645)",-38.6193271,142.9963645
2012.06.10,Jun-2012,Provoked,Italy,Sardinia,Muravera,N,Morning,Unknown,Leisure,Unknown,"Muravera, Sardinia, Italy","(39.4209266, 9.5755996)",39.4209266,9.5755996
2012.06.03,Jun-2012,Unprovoked,Australia,New South Wales,"Redhead Beach, Newcastle",N,14h30,Afternoon,Surfing,White,"Redhead Beach, Newcastle, New South Wales, Australia","(-33.0204805, 151.7091512)",-33.0204805,151.7091512
2012.06.02.b,Jun-2012,Unprovoked,United States,Florida,"Bethune Beach, Volusia County",N,Unknown,Unknown,Surfing,Unknown,"Bethune Beach, Volusia County, Florida, United States","(28.941441, -80.844768)",28.941441,-80.844768
2012.06.02.a,Jun-2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",N,19h45,Evening,Surfing,Unknown,"Myrtle Beach, Horry County, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2012.05.31,May-2012,Unprovoked,United States,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",N,13h30,Afternoon,Wading,Unknown,"Avon, Hatteras Island, Outer Banks, Dare County, North Carolina, United States","(35.3521855, -75.51084449999999)",35.3521855,-75.51084449999999
2012.05.29,May-2012,Unprovoked,Mexico,Guerrero,"Boca de la Leña, La Unión",N,09h00,Morning,Diving,Bull,"Boca de la Leña, La Unión, Guerrero, Mexico","(17.9855074, -101.8061071)",17.9855074,-101.8061071
2012.05.23,May-2012,Unprovoked,United States,Florida,"Jacksonville, Duval County",N,15h00,Afternoon,Surfing,Unknown,"Jacksonville, Duval County, Florida, United States","(30.3321838, -81.65565099999999)",30.3321838,-81.65565099999999
2012.05.20,May-2012,Not Confirmed,United States,Hawaii,"Iroquiois Point, Oahu",N,Morning,Unknown,Fishing,Tiger,"Iroquiois Point, Oahu, Hawaii, United States","(21.3275, -157.9802778)",21.3275,-157.9802778
2012.05.16,May-2012,Unprovoked,Fiji,Matacucu Reef,Matacucu Reef,N,Unknown,Unknown,Fishing,Unknown,"Matacucu Reef, Matacucu Reef, Fiji","(-17.713371, 178.065032)",-17.713371,178.065032
2012.05.12,May-2012,Not Confirmed,United States,California,"Leffingwell Landing, Cambria, San Luis Obispo County",N,14h30,Afternoon,Fishing,White,"Leffingwell Landing, Cambria, San Luis Obispo County, California, United States","(35.5838504, -121.1214197)",35.5838504,-121.1214197
2012.05.09,May-2012,Unprovoked,United States,Florida,"Vero Beach, Indian River County",N,11h30,Morning,Swimming,Unknown,"Vero Beach, Indian River County, Florida, United States","(27.6386434, -80.39727359999999)",27.6386434,-80.39727359999999
2012.05.06,May-2012,Unprovoked,United States,California,Catalina Island,N,07h20,Morning,Surfing,White,"Catalina Island, California, United States","(33.3878856, -118.4163103)",33.3878856,-118.4163103
2012.04.19.b,Apr-2012,Unprovoked,United States,Florida,"Indialantic, Brevard County",N,19h28,Evening,Surfing,Unknown,"Indialantic, Brevard County, Florida, United States","(28.0894599, -80.5656079)",28.0894599,-80.5656079
2012.04.19.a,Apr-2012,Unprovoked,South Africa,Western Cape Province,Kogel Bay,Y,12h30,Afternoon,Surfing,White,"Kogel Bay, Western Cape Province, South Africa","(-34.2360237, 18.8517026)",-34.2360237,18.8517026
2012.04.11,Apr-2012,Not Confirmed,Australia,South Australia,"Dolphin Bay, Innes National Park",N,Unknown,Unknown,Rowing,White,"Dolphin Bay, Innes National Park, South Australia, Australia","(-35.23670810000001, 136.897156)",-35.23670810000001,136.897156
2012.04.03,Apr-2012,Unprovoked,United States,Hawaii,"Leftovers Surf Break, Oahu",N,12h38,Afternoon,Surfing,Tiger,"Leftovers Surf Break, Oahu, Hawaii, United States","(21.6285714, -158.0734275)",21.6285714,-158.0734275
2012.04.00,Apr-2013,Unprovoked,United States,Florida,"Sanibel Island, Lee County",N,Unknown,Unknown,Unknown,Unknown,"Sanibel Island, Lee County, Florida, United States","(26.4433972, -82.1115119)",26.4433972,-82.1115119
2012.03.31,Mar-2012,Unprovoked,Australia,Western Australia,Stratham Beach,Y,09h30,Morning,Diving,White,"Stratham Beach, Western Australia, Australia","(-33.4671816, 115.5861508)",-33.4671816,115.5861508
2012.03.24,Mar-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,14h00,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.03.22,Mar-2012,Not Confirmed,Australia,Western Australia,Kalbarri,N,05h50,Dawn,Fishing,White,"Kalbarri, Western Australia, Australia","(-27.7115397, 114.1713913)",-27.7115397,114.1713913
2012.03.20,Mar-2012,Unprovoked,Australia,Queensland,Nobby's Beach,N,17h00,Afternoon,Surfing,Bull,"Nobby's Beach, Queensland, Australia","(-28.0534335, 153.4410418)",-28.0534335,153.4410418
2012.03.15,Mar-2012,Unprovoked,United States,Florida,"Jensen Beach, Martin County",N,15h50,Afternoon,Surfing,Bull,"Jensen Beach, Martin County, Florida, United States","(27.2544906, -80.22976969999999)",27.2544906,-80.22976969999999
2012.03.14.b,Mar-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,16h00,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.03.14.a,Mar-2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,16h05,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2012.03.06.b,Mar-2012,Unprovoked,New Zealand,North Island,"Opunake, Taranake",N,19h00,Evening,Surfing,Unknown,"Opunake, Taranake, North Island, New Zealand","(-39.4589862, 173.8678942)",-39.4589862,173.8678942
2012.03.06.a,Mar-2012,Provoked,Australia,Victoria,"Shipwreck Cove, Melbourne Aquarium",N,11h30,Morning,Leisure,Tiger,"Shipwreck Cove, Melbourne Aquarium, Victoria, Australia","(-37.820627, 144.95822)",-37.820627,144.95822
2012.03.05,Mar-2012,Unprovoked,Reunion,Saint-Benoit,Port de la Marine,N,14h30,Afternoon,Surfing,Unknown,"Port de la Marine, Saint-Benoit, Reunion","(-21.0250287, 55.7053258)",-21.0250287,55.7053258
2012.03.04,Mar-2012,Unprovoked,United States,Florida,"Playalinda Beach, Brevard County",N,13h00,Afternoon,Surfing,Unknown,"Playalinda Beach, Brevard County, Florida, United States","(28.6555177, -80.6318287)",28.6555177,-80.6318287
2012.03.03,Mar-2012,Not Confirmed,Saudi Arabia,Tabuk Province,Duba,U,Unknown,Unknown,Surfing,Unknown,"Duba, Tabuk Province, Saudi Arabia","(27.3457474, 35.7243073)",27.3457474,35.7243073
2012.03.01,Mar-2012,Provoked,Chile,Antofagasta Province,Antofagasta,N,Unknown,Unknown,Fishing,Unknown,"Antofagasta, Antofagasta Province, Chile","(-23.6509279, -70.39750219999999)",-23.6509279,-70.39750219999999
2012.02.26,Feb-2012,Provoked,United States,Florida,"Palm Beach Inlet, Palm Beach County",N,14h00,Afternoon,Surfing,Spinner,"Palm Beach Inlet, Palm Beach County, Florida, United States","(26.772285, -80.037263)",26.772285,-80.037263
2012.02.25,Feb-2012,Unprovoked,Australia,New South Wales,Broughton Island,N,16h00,Afternoon,Fishing,Tiger,"Broughton Island, New South Wales, Australia","(-32.6157855, 152.3139827)",-32.6157855,152.3139827
2012.02.20,Feb-2012,Not Confirmed,South Africa,Western Cape Province,Strandfontein,N,Unknown,Unknown,Fishing,White,"Strandfontein, Western Cape Province, South Africa","(-31.7469231, 18.2288552)",-31.7469231,18.2288552
2012.02.06,Feb-2012,Unprovoked,Australia,Queensland,Wurtulla,N,12h00,Afternoon,Surfing,Unknown,"Wurtulla, Queensland, Australia","(-26.7593814, 153.1251836)",-26.7593814,153.1251836
2012.01.27,Jan-2012,Unprovoked,United States,Hawaii,Lanai,N,11h05,Morning,Diving,Unknown,"Lanai, Hawaii, United States","(20.8165975, -156.9273193)",20.8165975,-156.9273193
2012.01.22.R,Jan-2012,Unprovoked,Bahamas,Cat Island,Cat Island,N,Unknown,Unknown,Working,Tiger,"Cat Island, Cat Island, Bahamas","(24.3153102, -75.45777749999999)",24.3153102,-75.45777749999999
2012.01.19,Jan-2012,Unprovoked,Australia,Western Australia,Coral Bay,N,Afternoon,Afternoon,Diving,Tiger,"Coral Bay, Western Australia, Australia","(-23.1422976, 113.7723112)",-23.1422976,113.7723112
2012.01.18.b,Jan-2012,Provoked,Taiwan,Taitung,Taimali,N,Unknown,Unknown,Fishing,Unknown,"Taimali, Taitung, Taiwan","(22.6102278, 121.0044631)",22.6102278,121.0044631
2012.01.18.a,Jan-2012,Unprovoked,Australia,New South Wales,Redhead Beach,N,16h45,Afternoon,Surfing,White,"Redhead Beach, New South Wales, Australia","(-33.0204805, 151.7091512)",-33.0204805,151.7091512
2012.01.15,Jan-2012,Unprovoked,South Africa,Eastern Cape Province,"Second Beach, Port St. Johns",Y,15h40,Afternoon,Swimming,Bull,"Second Beach, Port St. Johns, Eastern Cape Province, South Africa","(-31.6409371, 29.5299196)",-31.6409371,29.5299196
2012.01.13,Jan-2012,Unprovoked,United States,Oregon,"Lincoln City, Lincoln County",N,Unknown,Unknown,Surfing,White,"Lincoln City, Lincoln County, Oregon, United States","(44.9620902, -124.0159354)",44.9620902,-124.0159354
2012.01.03,Jan-2012,Unprovoked,Australia,New South Wales,North Avoca Beach,N,20h00,Evening,Surfing,Unknown,"North Avoca Beach, New South Wales, Australia","(-33.4608015, 151.4379276)",-33.4608015,151.4379276
2012.01.02,Jan-2012,Unprovoked,Australia,Queensland,Duranbah Beach,N,09h00,Morning,Fishing,Tiger,"Duranbah Beach, Queensland, Australia","(-28.1675078, 153.5519344)",-28.1675078,153.5519344
2011.12.31,Dec-2011,Unprovoked,United States,Florida,"Jupiter, Palm Beach County",N,18h00,Evening,Unknown,Unknown,"Jupiter, Palm Beach County, Florida, United States","(26.9342246, -80.0942087)",26.9342246,-80.0942087
2011.12.26.R,Dec-2011,Not Confirmed,Antigua,St John's,Fort James Beach,U,Early morning,Morning,Swimming,Unknown,"Fort James Beach, St John's, Antigua","(17.1336561, -61.86203949999999)",17.1336561,-61.86203949999999
2011.12.25,Dec-2011,Unprovoked,Ecuador,Santa Elena,Barandúa Beach,N,18h00,Evening,Surfing,Unknown,"Barandúa Beach, Santa Elena, Ecuador","(-2.1563606, -80.8170561)",-2.1563606,-80.8170561
2011.12.23,Dec-2011,Unprovoked,United States,Florida,New Smyrna Beach,N,12h30,Afternoon,Surfing,Unknown,"New Smyrna Beach, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2011.12.21.b,Dec-2011,Provoked,United States,Hawaii,"Makahuena Point, Kauai",N,Unknown,Unknown,Rowing,Unknown,"Makahuena Point, Kauai, Hawaii, United States","(21.8717452, -159.4463529)",21.8717452,-159.4463529
2011.12.21.a,Dec-2011,Not Confirmed,South Africa,Eastern Cape Province,"Noordhoek, Port Elizabeth",N,Dawn,Unknown,Fishing,Unknown,"Noordhoek, Port Elizabeth, Eastern Cape Province, South Africa","(-34.033333, 25.633333)",-34.033333,25.633333
2011.12.11,Dec-2011,Unprovoked,Australia,New South Wales,Angourie,N,05h45,Dawn,Surfing,White,"Angourie, New South Wales, Australia","(-29.47908, 153.3600112)",-29.47908,153.3600112
2011.12.07.b,Dec-2011,Not Confirmed,South Africa,KwaZulu-Natal,Cape Vidal,U,Unknown,Unknown,Surfing,Unknown,"Cape Vidal, KwaZulu-Natal, South Africa","(-28.3726019, 32.4141631)",-28.3726019,32.4141631
